iter	Passed	Remaining
605	1181732	2718374
606	1183573	2716173
607	1185408	2713960
608	1187159	2711559
609	1189050	2709475
610	1190912	2707329
611	1192740	2705103
612	1194528	2702791
613	1196431	2700738
614	1198239	2698473
615	1200103	2696335
616	1201892	2694032
617	1203754	2691891
618	1205576	2689663
619	1207504	2687671
620	1209311	2685412
621	1211164	2683255
622	1213063	2681201
623	1215019	2679274
624	1217013	2677430
625	1218820	2675175
626	1220817	2673336
627	1222648	2671136
628	1224471	2668920
629	1226257	2666623
630	1228034	2664309
631	1229913	2662217
632	1231824	2660195
633	1233544	2657763
634	1235508	2655856
635	1237396	2653787
636	1239482	2652142
637	1241414	2650167
638	1243182	2647843
639	1245089	2645814
640	1246993	2643782
641	1248931	2641820
642	1250805	2639725
643	1252659	2637587
644	1254605	2635645
645	1256399	2633381
646	1258300	2631344
647	1260118	2629135
648	1262010	2627081
649	1263785	2624784
650	1265683	2622744
651	1267602	2620749
652	1269363	2618426
653	1271194	2616250
654	1273201	2614436
655	1274990	2612175
656	1276830	2610019
657	1278686	2607899
658	1280572	2605839
659	1282464	2603792
660	1284368	2601769
661	1286325	2599853
662	1288215	2597803
663	1290223	2595991
664	1292137	2593990
665	1293931	2591748
666	1295788	2589633
667	1297647	2587525
668	1299576	2585554
669	1301419	2583414
670	1303247	2581245
671	1305090	2579106
672	1306934	2576971
673	1308725	2574732
674	1310531	2572524
675	1312366	2570374
676	1314298	2568414
677	1316095	2566191
678	1317752	2563698
679	1319640	2561654
680	1321512	2559581
681	1323271	2557289
682	1325133	2555199
683	1326965	2553050
684	1328805	2550919
685	1330689	2548871
686	1332536	2546754
687	1334391	2544654
688	1336253	2542566
689	1338108	2540466
690	1339871	2538194
691	1341659	2535968
692	1343488	2533823
693	1345240	2531534
694	1346989	2529239
695	1348807	2527076
696	1350522	2524720
697	1352445	2522757
698	1354314	2520690
699	1356100	2518473
700	1357997	2516460
701	1359873	2514410
702	1361726	2512318
703	1363548	2510168
704	1365328	2507943
705	1367145	2505788
706	1369002	2503706
707	1370888	2501677
708	1372736	2499580
709	1374582	2497481
710	1376401	2495331
711	1378179	2493111
712	1380020	2491004
713	1381846	2488871
714	1383723	2486831
715	1385552	2484706
716	1387409	2482630
717	1389307	2480629
718	1391071	2478390
719	1392865	2476205
720	1394685	2474067
721	1396585	2472072
722	1398382	2469895
723	1400316	2467960
724	1402159	2465867
725	1403992	2463754
726	1405833	2461658
727	1407689	2459588
728	1409593	2457604
729	1411566	2455739
730	1413370	2453579
731	1415170	2451416
732	1417158	2449577
733	1419320	2448037
734	1421370	2446303
735	1423411	2444554
736	1425458	2442813
737	1427367	2440836
738	1429302	2438904
739	1431359	2437179
740	1433252	2435175
741	1435111	2433114
742	1436986	2431079
743	1438833	2428997
744	1440687	2426929
745	1442543	2424866
746	1444595	2423130
747	1446409	2420994
748	1448414	2419181
749	1450479	2417465
750	1452364	2415450
751	1454216	2413380
752	1455971	2411150
753	1457914	2409232
754	1459816	2407247
755	1461591	2405052
756	1463491	2403064
757	1465437	2401151
758	1467266	2399047
759	1469102	2396955
760	1471062	2395067
761	1472867	2392926
762	1474693	2390820
763	1476518	2388712
764	1478414	2386722
765	1480387	2384853
766	1482192	2382715
767	1483943	2380491
768	1485705	2378287
769	1487551	2376217
770	1489314	2374016
771	1491035	2371750
772	1492818	2369583
773	1494685	2367550
774	1496551	2365517
775	1498331	2363347
776	1500201	2361321
777	1502066	2359287
778	1503963	2357303
779	1505765	2355171
780	1507682	2353220
781	1509527	2351156
782	1511326	2349022
783	1513160	2346942
784	1515035	2344926
785	1516989	2343034
786	1518858	2341010
787	1520816	2339124
788	1522731	2337171
789	1524679	2335268
790	1526596	2333318
791	1528445	2331265
792	1530355	2329305
793	1532169	2327199
794	1534129	2325316
795	1535914	2323167
796	1537683	2320994
797	1539585	2319025
798	1541503	2317078
799	1543381	2315072
800	1545239	2313037
801	1546994	2310846
802	1548841	2308795
803	1550783	2306886
804	1552685	2304918
805	1554528	2302862
806	1556416	2300873
807	1558271	2298836
808	1560157	2296845
809	1561990	2294775
810	1563949	2292893
811	1565822	2290883
812	1567721	2288911
813	1569610	2286925
814	1571409	2284810
815	1573253	2282759
816	1575117	2280739
817	1576859	2278542
818	1578676	2276455
819	1580413	2274253
820	1582180	2272095
821	1584121	2270188
822	1585898	2268046
823	1587706	2265950
824	1589617	2264001
825	1591534	2262060
826	1593983	2260873
827	1596151	2259287
828	1598418	2257838
829	1600719	2256436
830	1602595	2254433
831	1604449	2252400
832	1606151	2250154
833	1608000	2248115
834	1609921	2246177
835	1611647	2243968
836	1613478	2241906
837	1615283	2239807
838	1617189	2237851
839	1619022	2235792
840	1620857	2233738
841	1622826	2231868
842	1624654	2229805
843	1626616	2227924
844	1628472	2225900
845	1630356	2223913
846	1632190	2221859
847	1633984	2219752
848	1635904	2217815
849	1637810	2215860
850	1639715	2213905
851	1641520	2211813
852	1643350	2209757
853	1645274	2207827
854	1647153	2205837
855	1649045	2203865
856	1650959	2201921
857	1652885	2199994
858	1654755	2197993
859	1656537	2195874
860	1658409	2193877
861	1660257	2191847
862	1662086	2189794
863	1663910	2187733
864	1665733	2185672
865	1667578	2183641
866	1669461	2181660
867	1671353	2179691
868	1673096	2177528
869	1674916	2175466
870	1676722	2173386
871	1678526	2171304
872	1680352	2169252
873	1682211	2167242
874	1683993	2165134
875	1685900	2163186
876	1687711	2161117
877	1689517	2159042
878	1691382	2157042
879	1693234	2155026
880	1695062	2152979
881	1696957	2151018
882	1698798	2148990
883	1700669	2146999
884	1702516	2144978
885	1704368	2142964
886	1706265	2141007
887	1708155	2139041
888	1709994	2137012
889	1711997	2135187
890	1713840	2133163
891	1715685	2131142
892	1717526	2129117
893	1719390	2127120
894	1721258	2125129
895	1723153	2123171
896	1725080	2121253
897	1727043	2119378
898	1728856	2117320
899	1730806	2115429
900	1732538	2113273
901	1734511	2111411
902	1736333	2109366
903	1738150	2107315
904	1740078	2105399
905	1741897	2103350
906	1743951	2101586
907	1745737	2099499
908	1747573	2097472
909	1749796	2095910
910	1751872	2094170
911	1753747	2092189
912	1755722	2090328
913	1757635	2088394
914	1759408	2086293
915	1761167	2084176
916	1763061	2082219
917	1764815	2080098
918	1766639	2078060
919	1768538	2076110
920	1770397	2074113
921	1772224	2072080
922	1774163	2070177
923	1775970	2068121
924	1777750	2066034
925	1779629	2064062
926	1781410	2061978
927	1783236	2059945
928	1785081	2057936
929	1786918	2055917
930	1788819	2053972
931	1790594	2051882
932	1792387	2049814
933	1794097	2047652
934	1795930	2045632
935	1797724	2043567
936	1799474	2041452
937	1801282	2039405
938	1803126	2037398
939	1804945	2035364
940	1806759	2033324
941	1808547	2031255
942	1810385	2029244
943	1812151	2027153
944	1814072	2025234
945	1815876	2023186
946	1817695	2021154
947	1819587	2019205
948	1821400	2017167
949	1823229	2015148
950	1825099	2013174
951	1826994	2011229
952	1828869	2009262
953	1830635	2007175
954	1832571	2005274
955	1834415	2003273
956	1836320	2001340
957	1838207	1999386
958	1840131	1997473
959	1842025	1995527
960	1843814	1993468
961	1845686	1991499
962	1847622	1989599
963	1849464	1987599
964	1851299	1985590
965	1853077	1983522
966	1854983	1981590
967	1856822	1979587
968	1858694	1977620
969	1860553	1975639
970	1862395	1973640
971	1864176	1971577
972	1866130	1969697
973	1867913	1967638
974	1869747	1965631
975	1871574	1963618
976	1873433	1961639
977	1875258	1959626
978	1877044	1957571
979	1878877	1955566
980	1880814	1953669
981	1882584	1951600
982	1884435	1949614
983	1886254	1947596
984	1888251	1945761
